Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
524,780,11600271,CASABLANCA EL FIDA            ,1,,-7.604631,33.567386
524,780,1600714,CASABLANCA EL FIDA            ,1,,-7.604631,33.567386
574,780,1600389,CASA EL GUERNAOUI             ,1,,-7.4967675,33.6113513
497,780,11600018,CASABLANCA ENNASSIM           ,1,,-7.657811,33.519288
528,780,11600061,CASABLANCA GARE               ,1,,-7.591494,33.591075
567,780,1600506,CASABLANCA  GHANDI            ,1,,-7.6443165,33.5696729
567,780,1600522,CASABLANCA  GHANDI            ,1,,-7.6443165,33.5696729
1017,780,11600183,CASABLANCA HADJ FATEH ,1,,-7.682732,33.540563
575,780,1600418,CASA ATTACHAROUK              ,1,,-7.5258064,33.5739275
537,780,11600357,CASABLANCA HAY EL FARAH       ,1,,-7.590724,33.567554
537,780,1600731,CASABLANCA HAY EL FARAH       ,1,,-7.590724,33.567554
535,780,11600315,CASABLANCA HAY INARA          ,1,,-7.5997174,33.5370676
547,780,1600326,CASABLANCA HAY EL BARAKA      ,1,,-7.54367,33.5687472
553,780,1600887,CASABLANCA HAY ESSALAM        ,1,,-7.651012,33.570452
511,780,11600094,CASABLANCA HAY HASSANI        ,1,,-7.6720848,33.5734179
558,780,11600269,CASA HAY JAMILA               ,1,,-7.571527,33.540814
1037,780,11600283,CASABLANCA HAY MOULAY ABDELLAH,1,,-7.584890,33.539447
520,780,1600793,CASABLANCA HAY MY RACHID      ,1,,-7.558347,33.5734962
568,780,11600093,CASABLANCA HAY SALAMA         ,1,,-7.5574901,33.5657122
959,780,11600039,CASA HAY SEDRI NCR            ,1,,-7.558484,33.569181
579,780,1600432,CASABLANCA TACHFINE           ,1,,-7.5733888,33.5849552
976,780,11600068,CASABLANCA DRISS EL HARTI,1,,-7.5740326,33.5478418
557,780,11600092,CASABLANCA KSAR LBHAR         ,1,,-7.5830367,33.5491115
533,793,11600306,CASA LAHRAOUYINE              ,1,,-7.54396,33.545121
1045,780,11600322,CASABLANCA LES CHAMPS,1,,-7.660262,33.524889
551,780,1600484,LISSASFA                      ,1,,-7.6726105,33.5316413
525,780,11600387,CASABLANCA MAARIF             ,1,,-7.636231,33.579941
525,780,1600450,CASABLANCA MAARIF             ,1,,-7.636231,33.579941
525,780,1600680,CASABLANCA MAARIF             ,1,,-7.636231,33.579941
566,780,1600306,CASABLANCA MçALLAH            ,1,,-7.593238,33.539446
543,793,1600732,MEDIOUNA                      ,1,,-7.520955,33.454745
527,780,1600139,CASABLANCA OASIS              ,1,,-7.6338432,33.5568289
1021,780,11600186,CASABLANCA OUED SEBOU,1,,-7.681621,33.551231
495,780,1600681,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
563,780,11600318,CASABLANCA AL QODS            ,1,,-7.484764,33.617711
1030,780,11600239,CASABLANCA ROUDANI,1,,-7.640374,33.574358
512,780,1600428,CASABLANCA SIDI AL KHADIR     ,1,,-7.6864949,33.568403
541,780,1600715,CASABLANCA SIDI BERNOUSSI     ,1,,-7.509783,33.610549
516,780,1600283,CASABLANCA SIDI MAAROUF       ,1,,-7.6582325,33.5092924
545,780,11600307,CASABLANCA SIDI MOUMEN        ,1,,-7.546299,33.578944
545,780,11600067,CASABLANCA SIDI MOUMEN        ,1,,-7.546299,33.578944
531,780,11600090,CASABLANCA SIDI OTHMANE       ,1,,-7.574118,33.55955
577,780,1600420,CASABLANCA SIDI SOUFI         ,1,,-7.6345124,33.6023365
1024,780,1600892,CASABLANCA BOULEVARD TAH,1,,-7.58103,33.53374
530,780,11600362,CASABLANCA TAKADOUM           ,1,,-7.5667074,33.5864389
530,780,11600308,CASABLANCA TAKADOUM           ,1,,-7.5667074,33.5864389
1039,780,11600320,CASABLANCA CHARAF,1,,-7.695111,33.546635
1036,780,11600274,CASABLANCA HAY AL MASSIRA,1,,-7.534921,33.565695
562,780,1600185,CASABLANCA HAY SALMIA         ,1,,-7.5542325,33.5385688
1046,780,11600313,CASABLANCA LE NIL,1,,-7.576443,33.553805
529,780,1600094,CASABLANCA ROCHES NOIRES      ,1,,-7.5841069,33.6003158
124,272,11600229,AIN CHEGAG                    ,1,,-5.041861,33.8821423
265,146,1600222,OUTAT EL HAJ                  ,1,,-3.704002,33.344253
18,825,1600235,TEMARRA PPL                   ,1,,-6.9166902,33.9273942
373,640,1600914,TANGER PPAL                   ,1,,-5.806961,35.778219
473,150,11600303,CHEFCHAOUEN                   ,1,,-5.2655813,35.1680529
904,601,11600343,CHEMAIA                       ,1,,-8.6220842,32.0802859
719,465,1600250,CHICHAOUA                     ,1,,-8.766618,31.541319
495,780,1600367,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
395,579,1600882,SAIDIA MARINA                 ,1,,-2.293525,35.10936
540,780,1600359,CASABLANCA CITE DJEMAA        ,1,,-7.56875,33.5509602
7,810,1600546,RABAT CITE YOUSSOUFIA         ,1,,-6.8185267,33.9925367
550,780,1600712,CASABLANCA EL OULFA           ,1,,-7.6807416,33.557476
982,530,11600086,DAKHLA AL WAKALA,1,,-15.951808,23.701667
781,530,11600336,DAKHLA BIR ANZARANE           ,1,,-15.934529,23.700339
782,530,11600199,DAKHLA FAR                    ,1,,-13.219471,27.138438
1015,530,1600865,DAKHLA HAY ESSALAM,1,,-15.950207,23.690669
780,530,11600168,DAKHLA PAL                    ,1,,-15.930047,23.700744
780,530,11600153,DAKHLA PAL                    ,1,,-15.930047,23.700744
780,530,11600198,DAKHLA PAL                    ,1,,-15.930047,23.700744
707,450,11600057,MARRAKECH DAOUDIATE           ,1,,-7.9916096,31.6503424
513,792,1600718,DAR BOUAZZA                   ,1,,-7.817722,33.515659
433,503,1600856,DAR KEBDANI                   ,1,,-3.335367,35.118612
809,94,11600432,DAR OULED ZIDOUH              ,1,,-6.89751,32.308009
134,810,1600336,RABAT DAR EL HADITH           ,1,,-6.8489081,34.0161729
679,20,11600329,DCHEIRA HAY ILHAM             ,1,,-9.52689,30.363767
643,20,1600754,DCHEIRA                       ,1,,-9.539545,30.369372
442,586,11600011,DEBDOU                        ,1,,-3.040861,33.984148
720,81,1600748,DEMNATE                       ,1,,-7.004567,31.731685
820,610,11600280,DEROUA OULED ZIANE            ,1,,-7.540778,33.374755
156,810,1600473,RABAT DIOUR JAMAA             ,1,,-6.8480793,34.0139975
905,596,1600607,JEMAA SHAIM                   ,1,,-8.841151,32.354543
38,270,1600470,FES PRINCIPAL                 ,1,,-4.998991,34.041105
699,450,1600400,MARRAKECH DOUAR IZIKI         ,1,,-8.0588311,31.6249032
968,10,11600224,AGADIR DRARGA,1,,-9.4842133,30.3830543
602,10,1600542,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
199,210,1600562,ERRACHIDIA PRINCIPAL          ,1,,-4.4252104,31.9331753
311,360,1600566,KHEMISSET PPL                 ,1,,-6.065309,33.824435
188,380,11600048,KHENIFRA PRINCIPAL            ,1,,-5.6715954,32.935138
758,430,1600561,LAAYOUNE PAL                  ,1,,-13.2028748,27.1615514
373,640,11600038,TANGER PPAL                   ,1,,-5.806961,35.778219
432,501,11600333,DRIOUCH                       ,1,,-3.39207,34.979624
706,450,1600896,MARRAKECH PPAL                ,1,,-8.0093873,31.6325505
702,190,1600866,EL AAMRIA                     ,1,,-7.262751,32.209544
62,491,11600111,ELHAJEB                       ,1,,-5.3727302,33.6840255
62,491,1600637,ELHAJEB                       ,1,,-5.3727302,33.6840255
64,491,1600827,EL HAJEB PLACE D'ARME         ,1,,-5.367411,33.687684
481,153,11600349,JEBHA                         ,1,,-4.66635,35.204706
