Code guichet,empty,Code localité,id,Code commune,GUICHETS ,ENTREPRISES  TPE Nombre,ENTREPRISES  TPE Montant,ENTREPRISES PME Nombre,ENTREPRISES PME Montant,ENTREPRISES  GE  (*) Nombre,ENTREPRISES  GE  (*) Montant,ENTREPRISES Entrepreneurs individuels Nombre,ENTREPRISES  Entrepreneurs individuels Montant,ENTREPRISES  Total Nombre,ENTREPRISES  Total Montant,PARTICULIERS Nombre,PARTICULIERS Montant,Code GPS X,Code GPS X2
0219,,395,219,,BOUMIA                        ,,,,,,,,,,, 7   , 276   ,-5.096948,32.726245
0220,,380,220,,BOUAYACHE                     ,,,,,,,,,,, -     , -     ,-4.439405,32.721409
0221,,224,221,,AGHBALOU NSERDANE             ,,,,,,,,,,, -     , -     ,-5.296022,32.677646
0222,,231,222,,RICH                          ,,,,,,,,,,, 139   ," 6,040   ",-4.503558,32.25912
0223,,318,223,,TALSINNT                      ,,,,,,,,,,, 34   , 695   ,-3.438807,32.534921
0224,,233,224,,GOURAMA                       ,,,,,,,,,,, 11   , 342   ,-4.074898,32.338835
0225,,227,225,,IMILCHIL                      ,,,,,,,,,,, -     , -     ,-5.630927,32.156596
0226,,210,226,,GUERS TIALLALINE              ,,,,,,,,,,, 1   , 25   ,-4.393206,32.245097
0227,,825,227,,TEMARRA FATH EL KHEIR         ,,,,,,,,,,, 53   ," 2,178   ",-6.921438,33.910412
0228,,330,228,,KENITRA OULED OUIJIH          ,,,,,,,,,,, 179   ," 8,201   ",-6.6201317,34.2607013
0229,,810,229,,KENITRA MAAMOURA              ,,,,,,,,,,, 103   ," 5,581   ",-6.5489459,34.241608
0230,,815,230,,SALE HAY EL AMAL              ,,,,,,,,,,, 215   ," 13,025   ",-6.7923215,34.0685583
0231,,810,231,,RABAT TECHNOPOLIS             ,,,,,,,,,,, -     , -     ,-6.721863,33.992824
0232,,480,232,,MEKNES BASSATINE              ,,,,,,,,,,, 89   ," 2,758   ",-5.5140692,33.8931227
0233,,491,233,,SEBT JEHJOUH                  ,,,,,,,,,,, -     , -     ,-5.670024,33.717868
0234,,486,234,,TNINE MHAYA                   ,,,,,,,,,,, 11   , 779   ,-5.242126,33.981073
0235,,480,235,,NZALATE BNI AMAR              ,,,,,,,,,,, -     , -     ,-5.430572,34.122839
0236,,480,236,,MEKNES OUJEH AROUSS           ,,,,,,,,,,, 104   ," 8,712   ",-5.5775035,33.9016373
0237,,480,237,,MEKNES AL WIFAK               ,,,,,,,,,,, 90   ," 5,442   ",-5.5806926,33.8975076
0238,,480,238,,TOULAL                        ,,,,,,,,,,, 32   ," 1,815   ",-5.5965713,33.8899756
0239,,480,239,,MEKNES BORJ MY OMAR           ,,,,,,,,,,, 160   ," 10,245   ",-5.529688,33.906519
